0,8990B,,100.9,100.9,101.0,90.1,,,2024-12-19 23:04:15
1,8990P,8990 Holdings - Series A Perpetual Pref,101.1,101.1,101.9,95.05,,,2024-12-19 23:04:15
2,AAA,Asia Amalgamated Holdings Corp.,1.61,1.61,2.25,1.21,-35.698,,2024-12-19 23:04:15
3,AB,"Atok-Big Wedge Company, Inc.",4.71,4.75,6.0,2.51,747.619,,2024-12-19 23:04:15
4,ABA,"AbaCore Capital Holdings, Inc.",0.53,0.55,1.4,0.5,2.386,,2024-12-19 23:04:15
5,ABG,"Asiabest Group International, Inc.",26.2,26.2,27.55,2.66,"5,240.00",,2024-12-19 23:04:15
6,ABS,ABS-CBN Corporation,4.2,4.2,8.15,3.02,1.641,,2024-12-19 23:04:15
7,ABSP,ABS-CBN Holdings Corporation ''PDR'',3.7,3.62,8.0,2.7,,,2024-12-19 23:04:15
8,AC,Ayala Corporation,594.0,604.0,740.0,562.0,10.976,11.42 (1.92%),2024-12-19 23:04:15
9,ACE,Acesite (Phils.) Hotel Corp.,1.76,1.76,1.99,1.58,9.263,,2024-12-19 23:04:15
10,ACEN,AC Energy Corporation,3.6,3.7,6.0,3.1,,0.04 (1.11%),2024-12-19 23:04:15
11,ACENA,,1035.0,1031.0,1100.0,1005.0,,,2024-12-19 23:04:15
12,ACENB,,1065.0,1055.0,1100.0,1025.0,,,2024-12-19 23:04:15
13,ACPA,Ayala Corporation Preferred Class ''A'',500.0,500.0,540.0,489.0,,,2024-12-19 23:04:15
14,ACPAR,,2550.0,2540.0,2588.0,2460.0,,,2024-12-19 23:04:15
15,ACPB1,Ayala Corp. Class ''B'' Series 1 Pref.,498.2,498.2,525.0,460.0,,26.25 (5.27%),2024-12-19 23:04:15
16,ACPB3,,2072.0,2056.0,2090.0,2000.0,,,2024-12-19 23:04:15
17,ACR,"Alsons Consolidated Resources, Inc.",0.45,0.45,0.65,0.425,19.565,0.02 (4.44%),2024-12-19 23:04:15
18,AEV,"Aboitiz Equity Ventures, Inc.",32.7,33.15,53.0,32.5,8.359,1.47 (4.50%),2024-12-19 23:04:15
19,AGI,"Alliance Global Group, Inc.",8.74,8.79,11.78,8.25,4.784,0.15 (1.72%),2024-12-19 23:04:15
20,ALCO,Arthaland Corporation,0.37,0.37,0.56,0.33,1.945,0.01 (2.70%),2024-12-19 23:04:15
21,ALCPD,,471.8,471.8,500.0,400.0,,,2024-12-19 23:04:15
22,ALCPF,,500.0,430.2,505.0,430.2,,,2024-12-19 23:04:15
23,ALHI,"Anchor Land Holdings, Inc.",5.47,5.48,8.96,3.6,7.104,0.03 (0.55%),2024-12-19 23:04:15
24,ALI,"Ayala Land, Inc.",24.9,25.95,38.95,24.8,11.067,0.37 (1.49%),2024-12-19 23:04:15
25,ALLDY,,0.132,0.133,0.164,0.123,,,2024-12-19 23:04:15
26,ALLHC,AyalaLand Logistics Holdings Corp.,1.63,1.66,2.25,1.59,,,2024-12-19 23:04:15
27,ALTER,,1.13,1.15,1.17,0.61,,,2024-12-19 23:04:15
28,ANI,"AgriNurture, Inc.",0.5,0.5,1.09,0.45,50.00,,2024-12-19 23:04:15
29,ANS,A. Soriano Corporation,13.4,13.14,16.0,10.7,8.758,1.50 (11.19%),2024-12-19 23:04:15
30,AP,Aboitiz Power Corporation,37.7,37.4,39.75,32.4,16.043,1.87 (4.96%),2024-12-19 23:04:15
31,APB2R,Ayala Corp. Class ''B'' Pref. Shares,499.0,499.0,505.0,480.0,,24.11 (4.83%),2024-12-19 23:04:15
32,APC,"APC Group, Inc.",0.185,0.189,0.3,0.171,9.25,,2024-12-19 23:04:15
33,APL,"Apollo Global Capital, Inc.",0.0034,0.0035,0.015,0.0034,,,2024-12-19 23:04:15
34,APO,Anglo-Philippine Holdings Corporation,0.48,0.48,0.82,0.36,5.333,,2024-12-19 23:04:15
35,APVI,"Altus Property Ventures, Inc.",8.36,8.36,10.78,8.01,,,2024-12-19 23:04:15
36,APX,"Apex Mining Company, Inc.",3.29,3.34,4.6,2.41,65.80,0.05 (1.52%),2024-12-19 23:04:15
37,AR,Abra Mining and Industrial Corp.,0.0046,0.0046,0.013,0.0007,-95.833,,2024-12-19 23:04:15
