current_day_price_avg,current_day_price_min,current_day_price_max,previous_day_close,_52_wk_high_avg,_52_wk_low_avg,rec_count
101.1,101.1,101.1,101.1,101.9,95.05,1
1.61,1.61,1.61,1.61,2.25,1.21,1
4.71,4.71,4.71,4.75,6.0,2.51,1
0.53,0.53,0.53,0.55,1.4,0.5,1
26.2,26.2,26.2,26.2,27.55,2.66,1
4.2,4.2,4.2,4.2,8.15,3.02,1
3.7,3.7,3.7,3.62,8.0,2.7,1
594.0,594.0,594.0,604.0,740.0,562.0,1
1.76,1.76,1.76,1.76,1.99,1.58,1
3.6,3.6,3.6,3.7,6.0,3.1,1
500.0,500.0,500.0,500.0,540.0,489.0,1
498.2,498.2,498.2,498.2,525.0,460.0,1
0.45,0.45,0.45,0.45,0.65,0.425,1
32.7,32.7,32.7,33.15,53.0,32.5,1
8.74,8.74,8.74,8.79,11.78,8.25,1
0.37,0.37,0.37,0.37,0.56,0.33,1
5.47,5.47,5.47,5.48,8.96,3.6,1
24.9,24.9,24.9,25.95,38.95,24.8,1
1.63,1.63,1.63,1.66,2.25,1.59,1
0.5,0.5,0.5,0.5,1.09,0.45,1
13.4,13.4,13.4,13.14,16.0,10.7,1
37.7,37.7,37.7,37.4,39.75,32.4,1
499.0,499.0,499.0,499.0,505.0,480.0,1
0.185,0.185,0.185,0.189,0.3,0.171,1
0.0034,0.0034,0.0034,0.0035,0.015,0.0034,1
0.48,0.48,0.48,0.48,0.82,0.36,1
8.36,8.36,8.36,8.36,10.78,8.01,1
3.29,3.29,3.29,3.34,4.6,2.41,1
0.0046,0.0046,0.0046,0.0046,0.013,0.0007,1
0.52,0.52,0.52,0.52,1.22,0.49,1
37.4,37.4,37.4,37.9,40.5,31.5,1
4.11,4.11,4.11,4.12,5.24,3.2,1
17.26,17.26,17.26,17.2,23.0,14.92,1
0.485,0.485,0.485,0.485,0.71,0.35,1
0.51,0.51,0.51,0.51,0.75,0.335,1
62.75,62.75,62.75,62.0,64.5,32.5,1
1.96,1.96,1.96,2.06,2.64,1.8,1
3.5,3.5,3.5,3.58,4.89,3.31,1
3.42,3.42,3.42,3.42,5.34,3.09,1
9.5,9.5,9.5,9.5,9.8,6.0,1
23.25,23.25,23.25,23.25,24.55,12.08,1
148.0,148.0,148.0,143.0,169.0,125.2,1
1.67,1.67,1.67,1.68,2.99,1.14,1
680.0,680.0,680.0,680.0,960.0,680.0,1
0.08,0.08,0.08,0.079,0.107,0.047,1
0.94,0.94,0.94,0.77,1.55,0.6,1
4.56,4.56,4.56,4.72,12.0,4.51,1
52.0,52.0,52.0,52.0,74.9,50.0,1
122.0,122.0,122.0,126.0,149.6,101.0,1
0.55,0.55,0.55,0.56,0.71,0.51,1
0.136,0.136,0.136,0.14,0.247,0.12,1
1.25,1.25,1.25,1.18,1.55,1.0,1
40.1,40.1,40.1,40.1,59.45,40.0,1
43.05,43.05,43.05,43.05,67.9,40.05,1
11.4,11.4,11.4,11.4,22.4,10.0,1
0.68,0.68,0.68,0.68,0.75,0.61,1
27.85,27.85,27.85,28.45,38.0,26.0,1
36.5,36.5,36.5,36.8,40.5,31.0,1
0.055,0.055,0.055,0.055,0.12,0.053,1
14.38,14.38,14.38,13.22,15.48,6.67,1
1.74,1.74,1.74,1.78,2.3,0.87,1
13.76,13.76,13.76,13.76,14.86,11.0,1
2.68,2.68,2.68,2.67,3.0,2.46,1
41.2,41.2,41.2,41.35,45.5,30.05,1
15.92,15.92,15.92,16.02,17.68,7.72,1
0.155,0.155,0.155,0.155,0.21,0.11,1
1.62,1.62,1.62,1.65,2.18,1.55,1
5.33,5.33,5.33,5.38,5.66,4.51,1
0.4,0.4,0.4,0.39,0.44,0.26,1
101.8,101.8,101.8,101.8,103.0,95.0,1
2.68,2.68,2.68,2.66,3.54,2.51,1
1.79,1.79,1.79,1.8,2.07,1.49,1
12.68,12.68,12.68,11.0,15.4,4.92,1
0.33,0.33,0.33,0.33,0.44,0.24,1
10.42,10.42,10.42,10.4,13.1,7.38,1
1.03,1.03,1.03,1.03,1.26,0.98,1
95.8,95.8,95.8,95.9,98.0,90.0,1
3.81,3.81,3.81,3.8,7.19,3.7,1
2.7,2.7,2.7,2.56,4.0,2.41,1
1.6,1.6,1.6,1.62,2.76,1.15,1
2.01,2.01,2.01,2.02,3.1,1.94,1
10.48,10.48,10.48,10.46,12.62,9.24,1
1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1
10.0,10.0,10.0,10.0,10.3,9.4,1
9.71,9.71,9.71,9.71,10.8,9.71,1
5.51,5.51,5.51,5.52,6.2,4.2,1
2.86,2.86,2.86,2.86,6.65,2.8,1
6.01,6.01,6.01,6.0,7.1,5.7,1
10.26,10.26,10.26,10.26,10.26,10.25,1
1.22,1.22,1.22,1.22,1.41,1.01,1
2.6,2.6,2.6,2.6,3.58,1.55,1
3.28,3.28,3.28,3.21,6.59,3.18,1
0.0094,0.0094,0.0094,0.0094,0.016,0.0086,1
0.118,0.118,0.118,0.123,0.191,0.118,1
0.83,0.83,0.83,0.83,1.01,0.7,1
0.248,0.248,0.248,0.247,0.315,0.23,1
9.7,9.7,9.7,9.8,10.42,8.0,1
0.62,0.62,0.62,0.68,0.72,0.58,1
51.0,51.0,51.0,51.8,57.3,43.0,1
1011.0,1011.0,1011.0,1011.0,1060.0,997.0,1
1005.0,1005.0,1005.0,1005.0,1030.0,929.5,1
4.95,4.95,4.95,4.9,6.0,4.9,1
5.35,5.35,5.35,5.35,5.35,1.26,1
720.0,720.0,720.0,720.0,800.0,550.0,1
6.42,6.42,6.42,6.42,8.03,3.6,1
16.16,16.16,16.16,16.22,20.5,16.04,1
100.4,100.4,100.4,100.4,111.6,99.5,1
1.7,1.7,1.7,1.7,2.62,1.61,1
1.76,1.76,1.76,1.76,2.98,1.58,1
0.67,0.67,0.67,0.67,0.88,0.54,1
103.4,103.4,103.4,104.5,121.5,99.0,1
1.05,1.05,1.05,1.1,2.2,1.0,1
0.37,0.37,0.37,0.37,0.51,0.37,1
58.5,58.5,58.5,58.5,66.0,58.4,1
0.23,0.23,0.23,0.23,0.295,0.19,1
0.6,0.6,0.6,0.65,1.04,0.6,1
0.105,0.105,0.105,0.105,0.18,0.026,1
0.6,0.6,0.6,0.6,0.95,0.54,1
2048.0,2048.0,2048.0,2030.0,2472.0,1698.0,1
5.0,5.0,5.0,5.0,5.0,5.0,1
505.5,505.5,505.5,505.5,520.0,500.0,1
6.43,6.43,6.43,6.5,9.37,6.2,1
6.0,6.0,6.0,6.0,9.0,6.0,1
7.4,7.4,7.4,7.4,12.58,5.91,1
0.189,0.189,0.189,0.189,0.255,0.186,1
274.6,274.6,274.6,274.8,280.0,155.6,1
613.0,613.0,613.0,623.0,743.0,553.0,1
990.0,990.0,990.0,990.0,1000.0,950.0,1
970.0,970.0,970.0,975.0,995.0,930.0,1
3.4,3.4,3.4,3.5,4.3,3.1,1
0.62,0.62,0.62,0.61,1.28,0.58,1
8.99,8.99,8.99,8.99,10.8,8.0,1
2246.0,2246.0,2246.0,2246.0,2598.0,802.5,1
0.235,0.235,0.235,0.235,0.5,0.2,1
385.0,385.0,385.0,389.0,446.0,234.2,1
1.29,1.29,1.29,1.26,1.55,0.61,1
1.55,1.55,1.55,1.62,3.26,1.5,1
0.65,0.65,0.65,0.65,0.83,0.51,1
0.8,0.8,0.8,0.81,1.42,0.7,1
2.49,2.49,2.49,2.23,4.5,1.95,1
